"totsp","livesp","kitsp","dist","metrdist","floor","price"
"58","40","6","12.5","7","10","0"
"44","28","6","13.5","7","2","0"
"70","42","6","14.5","3","7","0"
"61","37","6","13.5","7","12","0"
"104","60","11","10.5","7","15","1"
"76","50","9","11","7","16","0"
"59","39","6","7.5","10","8","0"
"55","36","6","9","5","6","0"
"80","56","9","9","5","14","1"
"86","51","10","12.7","10","9","0"
"96","56","12","10.5","7","3","0"
"77","50","9","3.5","7","8","0"
"70","47","8","7.5","5","7","0"
"63","44","7","14.5","10","16","0"
"66","43","7","12","7","13","0"
"75","50","10","13.5","10","16","0"
"87","58","8","7.5","7","14","1"
"79","50","9","4.5","1","13","1"
"60","43","6","12","15","5","0"
"85","54","10","6","10","8","0"
"84","55","11","3","15","3","1"
"62","40","8","12.5","5","8","0"
"72","51","8","9","5","12","0"
"58","38","6","12","8","4","0"
"92","61","10","10.5","15","12","0"
"68","43","7","13.5","10","13","0"
"82","46","13","12","5","10","0"
"73","52","7","11","5","8","0"
"49","34","6","7","10","4","0"
"85","46","14","12","7","7","0"
"65","44","8","4.5","5","5","0"
"73","51","8","10.5","7","7","0"
"83","56","10","12","15","3","0"
"70","47","8","9","5","5","0"
"75","43","10","12.7","5","9","0"
"125","80","20","9","3","7","1"
"81","56","8","7.5","15","15","1"
"77","47","12","13.5","10","10","0"
"77","41","10","10","7","7","0"
"68","40","8","3","5","7","1"
"75","47","9","3","3","7","1"
"61","33","7","10.5","10","6","0"
"60","43","6","12","5","12","0"
"58","43","6","13.5","2","3","0"
"77","50","9","6","10","15","0"
"100","56","14","7","10","4","1"
"79","46","13","12","15","7","0"
"65","46","7","12.5","5","16","0"
"60","43","6","12","5","2","0"
"77","45","13","13","10","4","0"
"60","42","7","12","10","3","0"
"75","42","8","12","15","10","0"
"64","46","7","12","5","2","0"
"99","51","12","10.5","1","16","0"
"113","60","20","9","10","14","1"
"51","34","6","13.5","5","8","0"
"81","50","11","7.5","5","10","1"
"62","38","9","13","4","8","0"
"83","49","19","9","5","12","1"
"75","42","10","12","5","10","0"
"67","37","7","10.5","10","5","0"
"89","51","12","12.7","6","2","1"
"80","45","10","7","7","3","1"
"51","34","6","3.5","10","1","0"
"78","55","8","7.5","10","11","1"
"57","42","6","11","10","6","0"
"77","47","10","13.5","10","15","0"
"78","44","8","13.5","20","9","0"
"64","38","8","3","3","6","0"
"80","48","10","10.5","10","8","0"
"85","58","8","12","4","2","0"
"79","52","10","14.5","10","7","0"
"53","34","6","9","5","1","0"
"103","49","13","14.5","10","11","1"
"77","45","10","12","10","12","0"
"81","45","10","13","12","16","0"
"87","66","9","7.5","10","7","1"
"74","44","10","15.5","8","14","0"
"59","45","6","12","5","16","0"
"64","45","6","12.5","10","9","0"
"67","41","9","14.5","7","6","0"
"55","36","6","12.5","15","14","0"
"80","48","10","10.5","15","9","0"
"80","44","14","10.5","10","13","1"
"66","40","8","12.5","5","4","0"
"51","34","6","3.5","7","15","0"
"66","44","8","12","5","10","0"
"60","45","6","13.5","5","10","0"
"80","46","10","10.5","15","4","0"
"65","45","9","9","10","5","1"
"75","44","11","13.5","10","5","0"
"78","48","9","9","4","13","1"
"130","72","15","7","5","1","1"
"80","42","20","8","5","6","1"
"75","51","9","3.5","5","13","0"
"76","44","10","12.5","5","6","0"
"86","54","13","6","10","13","0"
"51","35","6","12.5","5","16","0"
"115","70","14","10","3","5","1"
"65","40","8","17","12","8","0"
"77","46","11","13","2","3","0"
"120","75","18","9","10","4","1"
"57","42","6","3","15","14","0"
"70","44","8","8","5","11","1"
"64","45","7","12.5","12","2","0"
"78","46","10","12.5","5","8","0"
"55","38","6","6.5","10","10","0"
"81","56","9","6","7","2","0"
"87","55","10","12","3","12","1"
"58","43","5","12","15","16","0"
"60","43","6","13.5","5","4","0"
"77","45","10","13","5","14","0"
"62","42","10","12","10","12","0"
"57","40","6","4.5","5","8","0"
"70","45","8","10.5","10","9","0"
"86","55","10","10.5","10","7","0"
"56","42","6","12","5","2","0"
"64","39","8","12","15","2","0"
"56","39","5","10.5","5","12","0"
"51","35","6","13.5","10","5","0"
"83","47","10","17","10","9","0"
"60","43","6","12","7","15","0"
"81","46","12","12","5","13","1"
"58","43","6","17","10","3","0"
"79","53","8","9","3","14","1"
"74","40","12","12.7","7","13","0"
"83","55","10","4.5","3","5","1"
"80","51","10","13.5","10","8","0"
"78","48","13","4.5","5","10","0"
"56","40","5","9","5","8","0"
"57","44","6","9","5","8","0"
"73","45","8","3","2","15","1"
"78","54","8","11.5","10","1","0"
"74","45","10","13","15","9","0"
"58","44","6","7","10","9","0"
"64","39","8","12","7","9","0"
"56","42","6","3","15","14","0"
"82","44","11","12.7","12","16","0"
"86","46","9","12","10","1","0"
"95","58","14","9","7","1","1"
"80","53","9","7","5","1","1"
"59","43","5","14.5","5","1","0"
"76","45","10","12","10","1","0"
"51","35","6","17","10","0","0"
"80","50","9","4.5","2","0","1"
"75","45","10","12","7","1","0"
"76","46","10","13","7","1","0"
"78","50","10","12","3","1","0"
"56","41","5","6","15","1","0"
"127","62","20","13.5","10","1","1"
"158","80","20","10.5","10","1","1"
"58","42","6","7.5","15","1","0"
"51","34","6","13.5","10","1","0"
"84","45","11","12","10","1","0"
"80","45","12","12.7","15","1","0"
"76","46","10","9","5","1","1"
"65","47","9","13.5","7","1","0"
"60","43","6","12.5","5","1","0"
"80","45","13","12","7","0","0"
"85","46","10","12","15","1","0"
"80","52","10","12","10","1","0"
"74","44","11","13","5","0","0"
"77","52","9","10.5","15","1","0"
"76","43","12","13","5","0","0"
"60","44","6","13.5","7","1","0"
"73","51","9","7.5","10","0","0"
"76","46","10","13","5","1","0"
"78","55","8","13.5","10","1","0"
"65","40","8","17","5","0","0"
"65","43","7","12","10","1","0"
"60","44","6","13.5","10","1","0"
"58","41","5","7.5","7","0","0"
"83","47","10","17","10","1","0"
"68","46","8","9","10","1","0"
"63","47","7","12","20","0","0"
"77","43","8","12.5","5","1","0"
"58","43","6","10","10","1","0"
"59","44","6","13.5","10","1","0"
"106","60","17","9","5","1","1"
"78","54","8","7.5","10","1","0"
"50","34","6","12","10","0","0"
"70","50","8","5","5","0","0"
"85","53","7","4.5","10","0","1"
"105","74","18","5","1","1","1"
"60","43","6","14.5","6","1","0"
"76","44","10","12.7","2","0","0"
"122","68","12","10","5","1","1"
"51","35","6","7","3","1","0"
"65","47","8","12.5","2","1","0"
"69","44","9","14.5","10","1","0"
"61","44","6","12.5","10","1","0"
"56","39","6","11.5","10","1","0"
"58","42","6","12","5","1","0"
"77","45","11","10.5","15","1","1"
"55","37","6","11.5","2","1","0"
"77","45","10","12","10","1","0"
"74","44","10","12.7","10","1","0"
"80","51","10","13.5","10","1","0"
"76","42","10","13.5","10","1","0"
"75","46","11","9","15","1","1"
"79","62","6","17","2","0","0"
"67","44","8","6","10","1","0"
"63","43","9","12","1","0","0"
"64","45","7","15.5","10","0","0"
"78","54","8","9","10","1","1"
"58","44","5","17","2","1","0"
"56","41","6","9","5","0","0"
"80","45","13","13","10","0","0"
"59","43","6","17","5","1","0"
"60","41","8","4.5","10","0","0"
"68","49","11","7.5","7","0","0"
"75","44","8","12","10","0","0"
"65","46","6","15.5","7","1","0"
"83","55","9","9","3","1","1"
"66","40","19","7.5","10","1","0"
"60","43","6","14.5","10","1","0"
"58","43","6","14.5","10","1","0"
"55","41","5","11.5","3","1","0"
"75","45","10","13","5","1","0"
"63","39","8","15.5","5","1","0"
"75","44","8","12.7","3","1","0"
"92","52","15","3.5","3","1","1"
"60","38","8","12","5","1","0"
"82","48","8","13","10","1","0"
"77","46","10","12.7","7","1","0"
"76","44","10","12","2","1","0"
"82","48","8","13","12","1","0"
"60","44","6","14.5","7","1","0"
"103","51","14","14.5","15","1","1"
"64","40","8","15.5","15","1","0"
"83","55","9","10.5","10","1","1"
