"totsp","livesp","kitsp","dist","metrdist","floor","price"
"58","40","6","12.5","7","10","81"
"44","28","6","13.5","7","2","75"
"70","42","6","14.5","3","7","128"
"61","37","6","13.5","7","12","95"
"104","60","11","10.5","7","15","330"
"76","50","9","11","7","16","137"
"59","39","6","7.5","10","8","98"
"55","36","6","9","5","6","88"
"80","56","9","9","5","14","225"
"86","51","10","12.7","10","9","140"
"96","56","12","10.5","7","3","132"
"77","50","9","3.5","7","8","115"
"70","47","8","7.5","5","7","142"
"63","44","7","14.5","10","16","84"
"66","43","7","12","7","13","100"
"75","50","10","13.5","10","16","110"
"87","58","8","7.5","7","14","170"
"79","50","9","4.5","1","13","175"
"60","43","6","12","15","5","96"
"85","54","10","6","10","8","110"
"84","55","11","3","15","3","170"
"62","40","8","12.5","5","8","125"
"72","51","8","9","5","12","135"
"58","38","6","12","8","4","95"
"92","61","10","10.5","15","12","148"
"68","43","7","13.5","10","13","56"
"82","46","13","12","5","10","135"
"73","52","7","11","5","8","130"
"49","34","6","7","10","4","72"
"85","46","14","12","7","7","127"
"65","44","8","4.5","5","5","140"
"73","51","8","10.5","7","7","112"
"83","56","10","12","15","3","120"
"70","47","8","9","5","5","130"
"75","43","10","12.7","5","9","110"
"125","80","20","9","3","7","450"
"81","56","8","7.5","15","15","159"
"77","47","12","13.5","10","10","120"
"77","41","10","10","7","7","132"
"68","40","8","3","5","7","169"
"75","47","9","3","3","7","185"
"61","33","7","10.5","10","6","92"
"60","43","6","12","5","12","88"
"58","43","6","13.5","2","3","90"
"77","50","9","6","10","15","115"
"100","56","14","7","10","4","265"
"79","46","13","12","15","7","129"
"65","46","7","12.5","5","16","110"
"60","43","6","12","5","2","102"
"77","45","13","13","10","4","101"
"60","42","7","12","10","3","86"
"75","42","8","12","15","10","115"
"64","46","7","12","5","2","87"
"99","51","12","10.5","1","16","140"
"113","60","20","9","10","14","219"
"51","34","6","13.5","5","8","79"
"81","50","11","7.5","5","10","180"
"62","38","9","13","4","8","89"
"83","49","19","9","5","12","340"
"75","42","10","12","5","10","112"
"67","37","7","10.5","10","5","99"
"89","51","12","12.7","6","2","170"
"80","45","10","7","7","3","198"
"51","34","6","3.5","10","1","89"
"78","55","8","7.5","10","11","193"
"57","42","6","11","10","6","100"
"77","47","10","13.5","10","15","135"
"78","44","8","13.5","20","9","100"
"64","38","8","3","3","6","136"
"80","48","10","10.5","10","8","133"
